Route stop,Business,Address,Phone,Category,Owned website search status,Raw owned-site candidate,Search evidence
368,The Sandwich Boss at EPC,"600 Harrison Street, San Francisco, CA, 94107",(415) 777-4709,cafe,ATTEMPTED - search error,,ERROR: No results found.
369,Bahn Mi King,"San Francisco, CA",(415) 664-0893,cafe,ATTEMPTED - search error,,ERROR: No results found.
370,Ozzy's  Cafe & Grill,"21 Drumm Street, San Francisco, CA, 94111",(415) 391-8181,fast_food,ATTEMPTED - search error,,ERROR: No results found.
371,Lucky Nails,17 Drumm Street,(415) 981-5321,beauty,ATTEMPTED - search error,,ERROR: No results found.
372,Il Canto Cafe,475 Sacramento Street,(415) 202-3593,cafe,ATTEMPTED - no likely owned-site hit,,New Ming's Restaurant San Francisco CA Chinese Restaurant... (openingtimes.co)
373,Oolong Noodles,"646 Washington Street, San Francisco, CA, 94111",(415) 986-2737,restaurant,ATTEMPTED - search error,,ERROR: No results found.
374,Ravi,"533 Jackson Street, San Francisco, 94133",(415) 693-0499,restaurant,ATTEMPTED - search error,,ERROR: No results found.
375,Yee Hing Clothing Store,"603 Jackson Street, San Francisco",(415) 632-8663,clothes,RAW HIT REVIEWED - not confirmed owned site,https://barcelino.com/stores/,"Barcelino Per Donna | Women's Clothing & Accessories | Union Square (unionsquareshop.com) | Barcelino Per Donna (for Women) in San Francisco, CA 94102 ... (chamberofcommerce.com) | BARCELINO PER DONNA (FOR WOMEN) - 476 Post St, San Francisco ... (loc8nearme.com) | BARCELINO PER DONNA - Updated April 2026 - 28 Photos & 11 ...Barcelino - Luxury FashionBarcelino Per Donna San Francisco CA, 94102 – Manta.comShopping Centers in San Francisco, CA | Barcelino Per Donna (yelp.com) | Barcelino - Luxury Fashion (barcelino.com)"
376,Yummy Bakery & Cafe,"607 Jackson Street, San Francisco, CA",(415) 989-8388,bakery,ATTEMPTED - search error,,ERROR: No results found.
377,"Oriental Shopping Center, Inc","620 Pacific Avenue, San Francisco, CA",(415) 397-7366,hardware,ATTEMPTED - no likely owned-site hit,,Maru Sushi | Japanese Cuisine & Sushi in Union Square (unionsquareshop.com)
378,Brioche Bakery & Cafe,"210 Columbus Avenue, San Francisco, CA, 94133",(415) 572-3858,bakery,ATTEMPTED - no likely owned-site hit,,"BeanStalk Cafe - Updated November 2025 (checkle.com) | BeanStalk Cafe San Francisco - mymenuweb.com (mymenuweb.com) | BeanStalk Cafe in San Francisco, CA 94108 - 415-576... (chamberofcommerce.com) | BeanStalk Cafe — Coffee Shop in San Francisco, CaliforniaBeanstalk Cafe | (415) 576-1966 | San Francisco - AllBizBEANSTALK CAFE - Updated May 2026 - 1029 Photos & 1057 ... - YelpBeanStalk Cafe | 724 Bush St, San Francisco, CA 94108, USA (localcoffeeshops.org) | Beanstalk Cafe | (415) 576-1966 | San Francisco - AllBiz (allbiz.com)"
379,Yummy Yummy,"758;760 Pacific Avenue, San Francisco, California, 94133 (reverse-geocoded approximate)",(415) 391-1068,restaurant,ATTEMPTED - no likely owned-site hit,,"Fresh Brew Coffee - Cafes, Sandwich Shop, Vietnamese... - SF Station (sfstation.com) | Best of 29 brew coffee in San Francisco (monaghansrvc.com)"
380,V.I.P Coffee & Cake Shop,671 Broadway,(415) 989-7118,bakery,ATTEMPTED - search error,,ERROR: No results found.
381,Yummy BBQ Kitchen,683 Broadway,(415) 378-3768,restaurant,ATTEMPTED - no likely owned-site hit,,"The Morning Fix San Francisco (mymenuweb.com) | THE MORNING FIX - Updated July 2024 - 114 Photos & 202 ... - Yelp (yelp.com) | The Morning Fix 1008 Bush St, San Francisco, CA 94109 ... (superpages.com) | The Morning Fix, 1008 Bush St, San Francisco, CA 94109, US ... (mapquest.com) | The Morning Fix, San Francisco - Menu, Reviews (89), Photos ... (restaurantji.com)"
382,Café Broadway,674 Broadway,(415) 956-1668,restaurant,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
383,V & J Cafe,670 Broadway,(415) 788-2822,cafe,ATTEMPTED - no likely owned-site hit,,Coffee. cafe bean's menu - san francisco | restaurants in san francisco (qrmenu.com) | Cafe bean's Menu - San Francisco | Restaurants in San Francisco (qrmenu.com) | Iced drinks. cafe bean's menu - san francisco | restaurants in san... (qrmenu.com) | Bagel sandwiches. cafe bean's menu - san francisco | restaurants in... (qrmenu.com) | Hot drinks. cafe bean's menu - san francisco | restaurants in san... (qrmenu.com)
384,Wa Li Bakery & Cafe,"1249 Stockton Street, San Francisco, CA",(415) 986-1660,bakery,ATTEMPTED - no likely owned-site hit,,"Sutter Health | A Whole Team on Your Team | Northern and ... (sutterhealth.org) | San Mateo, CA - Official Website | Official Website (cityofsanmateo.org) | San Francisco White Pages - Phone Books in California (CA ... (whitepages.com) | WebFOCUS Report - .NET Framework (fdotwww.blob.core.windows.net) | Evergreen Vendor List (evergreen.data.socrata.com)"
385,Little Paris,"1131 Stockton Street, San Francisco, CA, 94133",(415) 982-6111,restaurant,ATTEMPTED - no likely owned-site hit,,"Ling's Salon in San Francisco, CA 94109 - 415-921... (chamberofcommerce.com) | Ling's Salon in San Francisco, CA – Reviews, Hours, and ... (local.yahoo.com) | LING’S SALON - Updated April 2026 - 12 Photos & 19 Reviews ...Ling's Salon, San Francisco, CA - Reviews (43), Photos (24 ...Ling's Salon - San Francisco, CA 94109 - Services and ReviewsLing's Salon - Hair salon in San Francisco | ZAUBEE (yelp.com) | Ling's Salon, San Francisco, CA - Reviews (43), Photos (24 ...Ling's Salon - San Francisco, CA 94109 - Services and ReviewsLing's Salon - Hair salon in San Francisco | ZAUBEE (bestprosintown.com) | Ling's Salon - San Francisco, CA 94109 - Services and Reviews (salondiscover.com)"
386,The AA Bakery & Cafe,"1068 Stockton Street, San Francisco, CA",(415) 981-0123,bakery,RAW HIT REVIEWED - not confirmed owned site,https://www.thegoldendoorbarber.com/,"Golden Door Barbershop in San Francisco, CA 94109 - 415-874... (chamberofcommerce.com) | Golden Door Barbershop | Barber shop in San Francisco, California (find.dabicus.com) | Golden Door Barbershop - San Francisco, California 94109 ... (guide.in.ua) | Golden Door Barbershop - San Francisco, CA 94109 (yellowpages.com) | Golden Door Barber Shop - San Francisco CA 94109 | 415-874-9626 (merchantcircle.com)"
387,Maggie McGarrys,1353 Grant Avenue,(415) 399-9020,bar,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai) | Ling Beauty Salon in San Francisco, CA 94109 - 415-361... (chamberofcommerce.com) | Ling Beauty Salon - San Francisco, CALing Beauty Salon in San Francisco, CA – Reviews ... - YahooLing Beauty Salon - 21 Reviews - Beauty in San Francisco, CA ...Ling Beauty Salon, 753 O'Farrell St, San Francisco, CA 94109 ...Ling Beauty Salon - San Francisco, CA - Beauty Salon in San ...Google Maps (yelp.com) | Ling Beauty Salon in San Francisco, CA – Reviews ... - Yahoo (local.yahoo.com) | Ling Beauty Salon - 21 Reviews - Beauty in San Francisco, CA ... (reviews.birdeye.com)"
388,Ann's For Hair,"Columbus Avenue, San Francisco, 94133",(415) 391-3860,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
389,Water Lily Cleaners,"2201 Powell Street, San Francisco",(415) 391-2850,laundry,ATTEMPTED - no likely owned-site hit,,Mộng Thu Cafe | Eater SF (sf.eater.com)
390,DeLise Dessert cafe,"327 Bay Street, San Francisco, CA, 94133",(415) 399-9694,cafe,ATTEMPTED - no likely owned-site hit,,"Online Menu of Larkin Restaurant Restaurant, San Francisco... (zmenu.com)"
391,The Chowder Hut Grill,"2890 Taylor Street, San Francisco, CA, 94133",(415) 776-1849,restaurant,ATTEMPTED - search error,,ERROR: No results found.
392,Tanguito,"2850 Jones Street, San Francisco",(415) 577-4223,fast_food,ATTEMPTED - search error,,ERROR: No results found.
393,Swiss Louis,"Pier 39, San Francisco, CA, 94133",(415) 421-2913,restaurant,ATTEMPTED - search error,,ERROR: No results found.
394,Pepe’s Auto Repair,1500 South Van Ness Avenue,(415) 970-9232,car_repair,ATTEMPTED - search error,,ERROR: No results found.
395,Four Seasons Nails and Spa,451 Cortland Avenue,(415) 282-2531,beauty,ATTEMPTED - no likely owned-site hit,,"San Jose, California - Wikipedia (en.wikipedia.org) | Mom Banh Mi San Francisco CA, 94102 – Manta.com (manta.com) | San Carlos White Pages - Phone Books in California (CA ...Additional Case Information - California Department of ...Izzy's on the Peninsula - Redirect | BentoBoxKQED | News, Radio, Podcasts, TV | Public Media for Northern ...Recology - Compost, Recycling, & Landfill - Collection ...San Jose, California - Wikipedia (whitepages.com) | Izzy's on the Peninsula - Redirect | BentoBox (izzysonthepeninsula.com) | Additional Case Information - California Department of ... (dir.ca.gov)"
396,Bernal Heights Nail Care,430A Cortland Avenue,(415) 401-9096,beauty,ATTEMPTED - search error,,ERROR: No results found.
397,Progressive Grounds,400 Cortland Avenue,(415) 282-6233,cafe,ATTEMPTED - no likely owned-site hit,,"PHO TAN HOA - Updated February 2026 - 547 Photos & 698 ... - Yelp (yelp.com) | Pho Tan Hoa - Noodle House, Vietnamese Restaurant - Phone ... (sfstation.com) | Pho Tan Hoa menu - San Francisco CA 94102 - (877) 585-1085Pho Tan Hoa | Vietnamese & Chinese Cuisine - Eater SFPho Hoa, 431 Jones St, San Francisco, CA 94102, US - MapQuestPho Hoa - San Francisco, CA 94102 - The Real Yellow Pages (allmenus.com) | Pho Tan Hoa | Vietnamese & Chinese Cuisine - Eater SF (sf.eater.com) | Pho Hoa, 431 Jones St, San Francisco, CA 94102, US - MapQuest (mapquest.com)"
398,LP Decorative Plumbing,"Cortland Avenue, San Francisco, California, 94110 (reverse-geocoded approximate)",(415) 641-7928,plumber,ATTEMPTED - search error,,ERROR: No results found.
399,Brown Bear Realty,303 Cortland Avenue,(415) 285-5700,estate_agent,ATTEMPTED - search error,,ERROR: No results found.
400,Moonlight Cafe,634 Cortland Avenue,(415) 647-6448,restaurant,ATTEMPTED - no likely owned-site hit,,"Crystal Spa in San Francisco, CA United States - Apple Maps (maps.apple.com) | CRYSTAL SPA - Updated April 2026 - 577 Geary St, San ... - Yelp (yelp.com) | Crystal Spa, 577 Geary St, San Francisco, CA 94102, US - MapQuest (mapquest.com) | Crystal Spa Erotic Massage Parlors San Francisco - 415-829-7553 (bunnyagent.com) | Crystal Spa - Find the Seven (findtheseven.com)"
401,Tacos Los Altos,"737 Cortland Avenue, 94110",(415) 821-0701,restaurant,ATTEMPTED - search error,,ERROR: No results found.
402,Silver Crest Donut Shop,"340 Bayshore Boulevard, San Francisco, CA, 94124",(415) 826-0753,restaurant,RAW HIT REVIEWED - not confirmed owned site,https://cocobang.org/contact,CoCoBang CONTACT (Updated May 2026) (cocobang.org)
403,3R Automotive,240 Bayshore Boulevard,(415) 955-7277,car_repair,ATTEMPTED - search error,,ERROR: No results found.
404,Generation Nails,"Evans Avenue, San Francisco, California, 94124 (reverse-geocoded approximate)",(415) 648-2933,beauty,ATTEMPTED - no likely owned-site hit,,
405,Yan Li,"3rd Street, San Francisco, California, 94124 (reverse-geocoded approximate)",(415) 822-8978,restaurant,ATTEMPTED - search error,,ERROR: No results found.
406,Golden City,"3rd Street, San Francisco, California, 94124 (reverse-geocoded approximate)",(415) 822-3003,fast_food,ATTEMPTED - search error,,ERROR: No results found.
407,Taqueria Gonzalez,2527;2529;2531 San Bruno Avenue,(415) 468-4293,restaurant,ATTEMPTED - search error,,ERROR: No results found.
408,2546 Cafe,2546 San Bruno Avenue,(415) 468-8008,restaurant,ATTEMPTED - no likely owned-site hit,,"Hello Banh Mi Menu - San Francisco, CA (roostcafeandbistro.com) | HELLO BANH MI - Updated May 2026 - 63 Photos & 50 Reviews ...Hello Banh Mi San Francisco - mymenuweb.comHello Banh Mi Delivery Menu | Order Online | 681 Townsend St ...Hello banh mi, San Francisco - Menu, Reviews (35), Photos (27 ...Hello Banh Mi - San Francisco, CA Restaurant | Menu ...Hello Banh Mi - Official MapQuest (yelp.com) | Hello Banh Mi San Francisco - mymenuweb.com (mymenuweb.com) | Hello banh mi, San Francisco - Menu, Reviews (35), Photos (27 ...Hello Banh Mi - San Francisco, CA Restaurant | Menu ...Hello Banh Mi - Official MapQuest (restaurantji.com) | Hello Banh Mi - San Francisco, CA Restaurant | Menu ... (seamless.com)"
409,Ming Hing Restaurant,2550 San Bruno Avenue,(415) 468-5309,restaurant,ATTEMPTED - search error,,ERROR: No results found.
410,Ming Hui Dim Sum,2495 San Bruno Avenue,(415) 468-6188,restaurant,ATTEMPTED - search error,,ERROR: No results found.
411,My Cup of Tea (Cool Tea Bar),"2666 Ocean Avenue, San Francisco, CA, 94127",(415) 753-3338,cafe,ATTEMPTED - no likely owned-site hit,,"All Star Cafe Menu - Updated November 2025 - checkle.com (checkle.com) | All Star Cafe in San Francisco, CA 94102 - 415-252... (chamberofcommerce.com) | All Star Cafe - San Francisco, CA 94102 - The Real Yellow Pages (yellowpages.com) | ALL STAR CAFE - Updated November 2025 - 87 Photos & 154 ...Allstar Cafe - San Francisco, CA Restaurant | Menu + Delivery ...All Star Cafe, San Francisco | cityseekerAll Star Cafe Menu in San Francisco, CA | Order Delivery ... (yelp.com) | Allstar Cafe - San Francisco, CA Restaurant | Menu + Delivery ...All Star Cafe, San Francisco | cityseekerAll Star Cafe Menu in San Francisco, CA | Order Delivery ... (seamless.com)"
412,Riverside Seafood Restaurant,"1201 Vicente Street, San Francisco, CA, 94116",(415) 759-8828,restaurant,ATTEMPTED - no likely owned-site hit,,Tsubasa Sushi (khanhnguyen.com)
413,Just Won Ton,"1241 Vicente Street, San Francisco, CA, 94116",(415) 681-2999,restaurant,ATTEMPTED - no likely owned-site hit,,"Best Dry Cleaners in San Francisco, CA — 195... | Mainstreetly (mainstreetly.ai)"
414,8 Immortals Seafood Restaurant,"1433 Taraval Street, 94116",(415) 731-5515,restaurant,RAW HIT REVIEWED - not confirmed owned site,http://davidjamessalons.com/info,Info — DAVID JAMES. (davidjamessalons.com)
415,123 Wash & Dry,"1501 Taraval Street, San Francisco, CA, 94116",(415) 556-3883,laundry,ATTEMPTED - no likely owned-site hit,,Purple Rice | Online Ordering | 509 HAIGHT STREET | SAN... (purplerice.menu11.com) | Purple Rice | Online Ordering (purplerice.menu11.com) | The Best Restaurants in San Francisco - SF Station (sfstation.com)
416,Lou's Cafe,"1508 Taraval Street, San Francisco, CA, 94116",(415) 682-4083,cafe,ATTEMPTED - search error,,ERROR: No results found.
417,Flora Permanent Beauty Center,1572 Taraval Street,(415) 242-9688,beauty,ATTEMPTED - search error,,ERROR: No results found.
418,"United Associates Inv., Inc.",1580 Taraval Street,(415) 566-6868,estate_agent,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
419,Dragon Lounge,"1355 Taraval Street, San Francisco, CA, 94116",(415) 566-7700,mobile_phone,ATTEMPTED - no likely owned-site hit,,"Shanghai Dumpling King - Eater SF (sf.eater.com) | Chinese Restaurants | San Francisco, CA - Manta.com (manta.com)"
420,Banhwich,"1105 Taraval Street, San Francisco, CA, 94116",(415) 665-2233,restaurant,RAW HIT REVIEWED - not confirmed owned site,https://slicepizzasf.com/contact/,"The Slice Pizza Reviews | San Francisco, California | One Bite (onebite.app) | Contact – The Slice Pizza (slicepizzasf.com)"
421,Made in China,"1033 Taraval Street, San Francisco, CA, 94116",(415) 661-6888,restaurant,ATTEMPTED - no likely owned-site hit,,"Archiv von San Carlos | willkommen auf ibiza.com (welcometoibiza.com) | Carnaval San Miguel - Samstag 10.02.2024 ... - Facebook (facebook.com) | Willkommen im Museum Museo Nacional de San Carlos - (Mexiko ... (mus3ums.com) | Willkommen im Garten Eden - Ecocentro Danaus, La Fortuna de ... (tripadvisor.at) | Top 10 LGBTQIA-freundliche Hotels ab 74 € | San Carlos de ... (at.hotels.com)"
422,Taraval Okazu Ya,1735 Taraval Street,(415) 759-6850,restaurant,ATTEMPTED - search error,,ERROR: No results found.
423,"Beverly Presley-Nelson, DDS General Dentistry",1749 Taraval Street,(415) 753-0790,dentist,ATTEMPTED - search error,,ERROR: No results found.
424,T-28 Bakery & Cafe,"1757 Taraval Street, San Francisco, CA",(415) 682-8200,restaurant,ATTEMPTED - search error,,ERROR: No results found.
425,Parkside Day Spa,"1732 Taraval Street, San Francisco, CA",(415) 566-8166,beauty,ATTEMPTED - search error,,ERROR: No results found.
426,Dumpling Kitchen,"1935 Taraval Street, San Francisco, CA, 94116",(415) 662-8938,restaurant,ATTEMPTED - no likely owned-site hit,,500 Club - Dive Bar - Phone Number - Hours - Photos - 500 Guerrero... (sfstation.com) | Red Wine Spiked Bloody Marys at 500 Club - San Francisco (drunkentomato.com) | Trick Dog Bar | Bartenders Josh Harris and Scott Baird - Find. Eat. Drink. (findeatdrink.com)
427,Bright N' Clean Laundry Center,2900 Taraval Street,(510) 579-8419,laundry,ATTEMPTED - no likely owned-site hit,,"De Angelis, 573 Valencia St, San Francisco, CA 94110, US - MapQuest (mapquest.com) | De Angelis in San Francisco, CA 94110 - 415-861... (chamberofcommerce.com) | Reverse Phone Lookup | Identify Callers & Verify NumbersDE ANGELIS - Updated May 2026 - 24 Photos - 573 Valencia St ...De Angelis Designs 573 Valencia St, San ... - SuperpagesDe Angelis in San Francisco, CA – Reviews, Hours ... - YahooDe Angelis, 573 Valencia St, San Francisco CaDeAngelis | BBB Business Profile | Better Business Bureau (peoplefinders.com) | DE ANGELIS - Updated May 2026 - 24 Photos - 573 Valencia St ...De Angelis Designs 573 Valencia St, San ... - SuperpagesDe Angelis in San Francisco, CA – Reviews, Hours ... - YahooDe Angelis, 573 Valencia St, San Francisco CaDeAngelis | BBB Business Profile | Better Business Bureau (yelp.com) | De Angelis Designs 573 Valencia St, San ... - Superpages (superpages.com)"
428,Gentle Nail Salon,1414 9th Avenue,(415) 702-6559,beauty,ATTEMPTED - no likely owned-site hit,,"Al Hamra Restaurant Info and Reservations - Table AgentAlhamra - San Francisco, CA (California) - (415) 621-3935 ...Al Hamra Indian Pizza & Curry - Meal delivery | 3083 16th St ...Alhamra in San Francisco, CA – Reviews, Hours, and Contact ...Alhamra Indian Pizza and Curry menu - San Francisco CA 94103 ... (tableagent.com) | ALHAMRA [5 Reviews] 3083 16th Street, San Francisco... - DoorDash (doordash.com) | Alhamra in San Francisco, CA - Zabihah - Find halal restaurants near... (zabihah.com) | Alhamra Indian and Pakistani Restaurant: Info | KQED (kqed.org) | ALHAMRA - Updated April 2026 - 309 Photos & 589 Reviews ...Alhamra - San Francisco, CA 94103 - The Real Yellow PagesAl Hamra Restaurant Info and Reservations - Table AgentAlhamra - San Francisco, CA (California) - (415) 621-3935 ...Al Hamra Indian Pizza & Curry - Meal delivery | 3083 16th St ...Alhamra in San Francisco, CA – Reviews, Hours, and Contact ...Alhamra Indian Pizza and Curry menu - San Francisco CA 94103 ... (yelp.com)"
429,Green Spa & Nail,"Judah Street, San Francisco, California, 94122 (reverse-geocoded approximate)",(415) 702-6704,beauty,ATTEMPTED - search error,,ERROR: No results found.
430,Hing Wang Bakery,"339 Judah Street, San Francisco, CA, 94122",(415) 681-3928,restaurant,ATTEMPTED - search error,,ERROR: No results found.
431,Sensi Nails,"338 Judah Street, CA, 94122",(415) 665-6245,beauty,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
432,Tun Beauty Salon,"1373 7th Avenue, San Francisco, CA, 94122",(415) 564-8982,beauty,ATTEMPTED - no likely owned-site hit,,"Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
433,May Lee's Restaurant,"1256 7th Avenue, San Francisco, CA, 94122",(415) 242-1006,restaurant,ATTEMPTED - no likely owned-site hit,,"Dragon City Bakery & Cafe | San Francisco CA - Facebook (facebook.com) | Dragon City Bakery & Cafe | (415) 821-9718 | San FranciscoDragon City Bakery & Cafe in San Francisco, CA 94110 - 415-821...Dragon City Bakery & Cafe - San Francisco, CADragon City Bakery & Cafe - San Francisco, CA 94110Dragon City Bakery & Cafe 2367 Mission St, San Francisco, CA ...Dragon City Bakery and Cafe in San Francisco, CA - (415) 821-9718Dragon City Bakery & Cafe | San Francisco CA - Facebook (allbiz.com) | Dragon City Bakery & Cafe in San Francisco, CA 94110 - 415-821... (chamberofcommerce.com) | Dragon City Bakery & Cafe - San Francisco, CADragon City Bakery & Cafe - San Francisco, CA 94110Dragon City Bakery & Cafe 2367 Mission St, San Francisco, CA ...Dragon City Bakery and Cafe in San Francisco, CA - (415) 821-9718Dragon City Bakery & Cafe | San Francisco CA - Facebook (yelp.com) | Dragon City Bakery & Cafe - San Francisco, CA 94110 (yellowpages.com)"
434,Elite Hair Salon Hair Nail,"311 Lake Merced Boulevard, Daly City, CA, 94015",(650) 994-0108,beauty,ATTEMPTED - no likely owned-site hit,,"Little Kite - yeschinese.com (yeschinese.com) | Little Kite Menu - San Francisco, CA Restaurant - MenuPagesInfo & Hours | Little Kite | Beyond MenuLittle Kite menu - San Francisco CA 94110 - (415) 285-4926Little Kite in San Francisco, CA 94110 - (415) 2...Little Kite | 3515 20th St A, San Francisco, CA 94110, USA (menupages.com) | Info & Hours | Little Kite | Beyond Menu (beyondmenu.com) | Little Kite menu - San Francisco CA 94110 - (415) 285-4926 (allmenus.com) | Little Kite in San Francisco, CA 94110 - (415) 2... (chamberofcommerce.com)"
435,Coastside Barber Shop,"69 Bill Drake Way, Pacifica, CA, 94044",(650) 355-9954,hairdresser,ATTEMPTED - search error,,ERROR: No results found.
436,Redeye Grill,"446 Manor Plaza, Pacifica, CA, 94044",(650) 359-5188,restaurant,RAW HIT REVIEWED - not confirmed owned site,https://loltunsf.com/,"Loltun Restaurant - Mission, San Francisco, CA (loltunsf.com)"
437,New York Nails 2,"45 West Manor Drive, Pacifica, CA, 94044",(650) 359-8386,beauty,ATTEMPTED - search error,,ERROR: No results found.
438,Seaview Tire and Brake Center,"66 West Manor Drive, Pacifica, CA, 94044",(650) 355-6889,tyres,ATTEMPTED - no likely owned-site hit,,"Esperpento Tapas Restaurant (essexlad.com) | (415) 282-8XXX San Francisco, CA Phone Book + (415) 282-8XXX... (callersmart.com) | Full text of ""Bay Guardian"" (archive.org)"
439,Simon’s Auto Werks,"1518 Francisco Boulevard, Pacifica, CA, 94044",(650) 355-2744,car_repair,ATTEMPTED - search error,,ERROR: No results found.
440,Buona Italia Caffe,"1608 Francisco Boulevard, Pacifica, CA, 94044",(650) 733-7159,restaurant,ATTEMPTED - no likely owned-site hit,,"VANESSA'S BEAUTY SALON - San Francisco CA - Hours, Directions ... (loc8nearme.com) | Vanessa's Beauty Salon - San Francisco, CA 94110 (yellowpages.com) | Vanessa's Beauty Salon - San Francisco, CA 94110 | BizMapDir (bizmapdir.com) | Vanessa's Beauty Salon, 3329 23rd St, San Francisco, CA 94110 ... (mapquest.com) | Vanessa’s Beauty Salon | San Francisco CA - Facebook (facebook.com)"
441,Loco Burger,"1624 Francisco Boulevard, Pacifica, CA, 94044",(650) 290-8111,restaurant,ATTEMPTED - no likely owned-site hit,,"Primera Insurance Agency LLC in San Francisco, CA - (415) 829 ... (buzzfile.com) | Primeras Insurance Agency - San Francisco, CAGoogle MapsPrimeras Insurance Agency LLC | BBB Business Profile | Better ...Auto Insurance in San Francisco, CA | Primeras Insurance AgencyPrimeras Insurance Agency - Overview, News & Similar ...PRIMERAS INSURANCE AGENCY... - Primeras Insurance Agency LLC (yelp.com) | Primeras Insurance Agency LLC | BBB Business Profile | Better ...Auto Insurance in San Francisco, CA | Primeras Insurance AgencyPrimeras Insurance Agency - Overview, News & Similar ...PRIMERAS INSURANCE AGENCY... - Primeras Insurance Agency LLC (bbb.org) | Auto Insurance in San Francisco, CA | Primeras Insurance Agency (cityof.com) | Primeras Insurance Agency - Overview, News & Similar ... (zoominfo.com)"
442,Taqueria Pacifica,"1710 Francisco Boulevard, Pacifica, CA, 94044",(650) 735-9983,restaurant,ATTEMPTED - search error,,ERROR: No results found.
443,Kitten & Pinky,"1715 Palmetto Avenue, Pacifica, CA, 94044",(650) 290-8153,restaurant,ATTEMPTED - no likely owned-site hit,,"(415) 285-9XXX San Francisco, CA Phone Book + (415) 285-9XXX... (callersmart.com) | J.J. JEWELERS - Updated May 2026 - 19 Photos & 28 Reviews ...J.J. Jewelers, 3214 24th St, San Francisco, CA 94110, US ...J.J. JEWELERS - San Francisco CA - Hours, Directions, Reviews ...J & J Jewelry Repair Company Profile -Sales, Contacts ...J & J Jewelry Repair | (415) 285-9277 | San Francisco - AllBizJ J Jewelers - San Francisco, CA 94110 - The Real Yellow PagesJ.J. Jewelers in San Francisco, CA – Reviews, Hours, and ... (yelp.com) | J.J. Jewelers, 3214 24th St, San Francisco, CA 94110, US ... (mapquest.com) | J.J. JEWELERS - San Francisco CA - Hours, Directions, Reviews ... (loc8nearme.com) | J & J Jewelry Repair | (415) 285-9277 | San Francisco - AllBiz (allbiz.com)"
444,The Tan Line,"1717 Palmetto Avenue, Pacifica, CA, 94044",(650) 290-8377,beauty,ATTEMPTED - no likely owned-site hit,,The Jelly Donut - Bagels & Donuts - Phone Number... - SF Station (sfstation.com)
445,Cafe Pacifica,"1821 Palmetto Avenue, Pacifica, CA, 94044",(650) 438-1808,cafe,ATTEMPTED - search error,,ERROR: No results found.
446,Reflections Hair Salon,"2116 Palmetto Avenue, Pacifica, CA, 94044",(650) 359-7041,hairdresser,RAW HIT REVIEWED - not confirmed owned site,https://www.24thstreetauto.com/contact,Contact — 24th St Auto Repair (24thstreetauto.com)
447,Chit Chat Cafe At the Pier,"2100 Beach Boulevard, Pacifica, CA, 94044",(650) 359-7025,cafe,ATTEMPTED - search error,,ERROR: No results found.
448,Johnny’s Barber Shop,"190 Clarendon Road, Pacifica, CA, 94044",(650) 355-3261,hairdresser,ATTEMPTED - no likely owned-site hit,,"Hollywood Beauty Salon in San Francisco, CA 94110 - 415-756... (chamberofcommerce.com) | Hollywood Beauty Salon, San Francisco, CA - Reviews (55 ...Google MapsHollywood Beauty Salon - 16 Reviews - Beauty in San Francisco ...InstagramRestaurants, Dentists, Bars, Beauty Salons, Doctors - YelpHollywood Continental - San Francisco CA 94110 | 415-282-3829 (bestprosintown.com) | Hollywood Beauty Salon - 16 Reviews - Beauty in San Francisco ... (reviews.birdeye.com) | Hollywood Continental - San Francisco CA 94110 | 415-282-3829 (merchantcircle.com) | Hair Salons in San Francisco, CA — 589 businesses | Mainstreetly (mainstreetly.ai)"
449,Asian King's Kitchen,"3048 North Cabrillo Highway, Half Moon Bay, CA, 94019",(650) 560-9898,restaurant,ATTEMPTED - search error,,ERROR: No results found.
450,La Di Da,"500 Purisima Street, 94019",(650) 712-8808,cafe,RAW HIT REVIEWED - not confirmed owned site,https://www.danielsjewelers.com/pages/store-locator,"Daniel's Jewelry in San Francisco, CA 94110 - 415-525... (chamberofcommerce.com) | Daniel's Jewelry | 2886mission st San Francisco (jewelrystoredirectory.com) | Daniel’s Jewelry in San Francisco, CA – Reviews, Hours, and ... (local.yahoo.com) | Jewelers in San Francisco, CA | Daniel’s Jewelry (cityof.com) | Daniel's Jewelers Reviews | Read Customer Service ... - Yelp (yelp.com)"
